{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.94978976, 'test gap-rms-sextuality': 0.03753009, 'test gap-rms-gender-identity': 0.10757718, 'test gap-rms-religion': 0.30905595, 'test gap-rms-race': 0.059858873, 'test bal-acc': 0.824521, 'fpr': 0.33038055896759033, 'fnr': 0.020577418, 'fpr-sextuality': 0.3055555820465088, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.476190447807312, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.760000005364418, 'fnr-religion': 0.005076142, 'fpr-race': 0.41059601306915283, 'fnr-race': 0.026850509}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.95512456, 'test gap-rms-sextuality': 0.06967864, 'test gap-rms-gender-identity': 0.12443209, 'test gap-rms-religion': 0.19859055, 'test gap-rms-race': 0.079646125, 'test bal-acc': 0.84830076, 'fpr': 0.2837926745414734, 'fnr': 0.019605802, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.4523809552192688, 'fnr-gender-identity': 0.013588635, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.015228426, 'fpr-race': 0.3907284736633301, 'fnr-race': 0.014513788}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.9260026, 'test gap-rms-sextuality': 0.004619527, 'test gap-rms-gender-identity': 0.079075105, 'test gap-rms-religion': 0.102181405, 'test gap-rms-race': 0.042179674, 'test bal-acc': 0.6202302, 'fpr': 0.7578740119934082, 'fnr': 0.0016656256, 'fpr-sextuality': 0.7638888955116272, 'fnr-sextuality': 0.0, 'fpr-gender-identity': 0.8650793582201004, 'fnr-gender-identity': 0.0012353305, 'fpr-religion': 0.8999999985098839, 'fnr-religion': 0.0, 'fpr-race': 0.8145695328712463, 'fnr-race': 0.0014513788}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.94671434, 'test gap-rms-sextuality': 0.055145204, 'test gap-rms-gender-identity': 0.16219032, 'test gap-rms-religion': 0.23044235, 'test gap-rms-race': 0.06278519, 'test bal-acc': 0.8097651, 'fpr': 0.35958003997802734, 'fnr': 0.020889722, 'fpr-sextuality': 0.3194444179534912, 'fnr-sextuality': 0.0859375, 'fpr-gender-identity': 0.579365074634552, 'fnr-gender-identity': 0.0142063005, 'fpr-religion': 0.6800000071525574, 'fnr-religion': 0.011844331, 'fpr-race': 0.443708598613739, 'fnr-race': 0.027576197}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.95327306, 'test gap-rms-sextuality': 0.040894818, 'test gap-rms-gender-identity': 0.110674836, 'test gap-rms-religion': 0.20865569, 'test gap-rms-race': 0.06481078, 'test bal-acc': 0.79989564, 'fpr': 0.3897637724876404, 'fnr': 0.010444861, 'fpr-sextuality': 0.3472222089767456, 'fnr-sextuality': 0.046875, 'fpr-gender-identity': 0.539682537317276, 'fnr-gender-identity': 0.0043236567, 'fpr-religion': 0.6800000071525574, 'fnr-religion': 0.008460237, 'fpr-race': 0.4768211841583252, 'fnr-race': 0.007256894}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.94781274, 'test gap-rms-sextuality': 0.050964896, 'test gap-rms-gender-identity': 0.1312467, 'test gap-rms-religion': 0.27174905, 'test gap-rms-race': 0.065905556, 'test bal-acc': 0.82709527, 'fpr': 0.3221784830093384, 'fnr': 0.023631064, 'fpr-sextuality': 0.2777777910232544, 'fnr-sextuality': 0.078125, 'fpr-gender-identity': 0.5, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.699999988079071, 'fnr-religion': 0.011844331, 'fpr-race': 0.41059601306915283, 'fnr-race': 0.018142235}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.9489111, 'test gap-rms-sextuality': 0.045725252, 'test gap-rms-gender-identity': 0.15121926, 'test gap-rms-religion': 0.19691336, 'test gap-rms-race': 0.11173069, 'test bal-acc': 0.8078991, 'fpr': 0.3664698004722595, 'fnr': 0.017731974, 'fpr-sextuality': 0.3263888955116272, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.5714285671710968, 'fnr-gender-identity': 0.01297097, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.0033840947, 'fpr-race': 0.5165562927722931, 'fnr-race': 0.01233672}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.9468713, 'test gap-rms-sextuality': 0.03791631, 'test gap-rms-gender-identity': 0.11953327, 'test gap-rms-religion': 0.22334296, 'test gap-rms-race': 0.035417, 'test bal-acc': 0.78755474, 'fpr': 0.4094488024711609, 'fnr': 0.015441738, 'fpr-sextuality': 0.375, 'fnr-sextuality': 0.0546875, 'fpr-gender-identity': 0.5714285671710968, 'fnr-gender-identity': 0.010500309, 'fpr-religion': 0.7199999988079071, 'fnr-religion': 0.0067681894, 'fpr-race': 0.45695364475250244, 'fnr-race': 0.01233672}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.94018704, 'test gap-rms-sextuality': 0.015833039, 'test gap-rms-gender-identity': 0.13410121, 'test gap-rms-religion': 0.22131099, 'test gap-rms-race': 0.027714152, 'test bal-acc': 0.7111, 'fpr': 0.5721784830093384, 'fnr': 0.0056214863, 'fpr-sextuality': 0.5555555522441864, 'fnr-sextuality': 0.01953125, 'fpr-gender-identity': 0.7539682537317276, 'fnr-gender-identity': 0.0030883262, 'fpr-religion': 0.880000002682209, 'fnr-religion': 0.0016920473, 'fpr-race': 0.6092715263366699, 'fnr-race': 0.0021770683}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.95343, 'test gap-rms-sextuality': 0.07619511, 'test gap-rms-gender-identity': 0.14082001, 'test gap-rms-religion': 0.20049128, 'test gap-rms-race': 0.08143012, 'test bal-acc': 0.83958924, 'fpr': 0.3011810779571533, 'fnr': 0.019640502, 'fpr-sextuality': 0.2152777910232544, 'fnr-sextuality': 0.078125, 'fpr-gender-identity': 0.4920634627342224, 'fnr-gender-identity': 0.016059296, 'fpr-religion': 0.5800000131130219, 'fnr-religion': 0.013536379, 'fpr-race': 0.41059601306915283, 'fnr-race': 0.016690856}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.9412226, 'test gap-rms-sextuality': 0.12223772, 'test gap-rms-gender-identity': 0.11288531, 'test gap-rms-religion': 0.16156644, 'test gap-rms-race': 0.0417096, 'test bal-acc': 0.8442819, 'fpr': 0.27559053897857666, 'fnr': 0.035845652, 'fpr-sextuality': 0.1805555820465088, 'fnr-sextuality': 0.17578125, 'fpr-gender-identity': 0.4285714030265808, 'fnr-gender-identity': 0.031500928, 'fpr-religion': 0.5, 'fnr-religion': 0.023688663, 'fpr-race': 0.3311258554458618, 'fnr-race': 0.043541364}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.9528651, 'test gap-rms-sextuality': 0.08406528, 'test gap-rms-gender-identity': 0.13043357, 'test gap-rms-religion': 0.26229653, 'test gap-rms-race': 0.110351585, 'test bal-acc': 0.8329692, 'fpr': 0.3152887225151062, 'fnr': 0.01877299, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.0859375, 'fpr-gender-identity': 0.4920634627342224, 'fnr-gender-identity': 0.0142063005, 'fpr-religion': 0.6800000071525574, 'fnr-religion': 0.008460237, 'fpr-race': 0.46357613801956177, 'fnr-race': 0.015239477}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.94486284, 'test gap-rms-sextuality': 0.05035931, 'test gap-rms-gender-identity': 0.068585485, 'test gap-rms-religion': 0.17833318, 'test gap-rms-race': 0.08382189, 'test bal-acc': 0.84776145, 'fpr': 0.27230972051620483, 'fnr': 0.032167394, 'fpr-sextuality': 0.2847222089767456, 'fnr-sextuality': 0.1015625, 'fpr-gender-identity': 0.3650793433189392, 'fnr-gender-identity': 0.02594194, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.01861252, 'fpr-race': 0.38410598039627075, 'fnr-race': 0.018142235}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.9449256, 'test gap-rms-sextuality': 0.05902743, 'test gap-rms-gender-identity': 0.1482176, 'test gap-rms-religion': 0.23991059, 'test gap-rms-race': 0.07717064, 'test bal-acc': 0.79674745, 'fpr': 0.38648295402526855, 'fnr': 0.020022208, 'fpr-sextuality': 0.3263888955116272, 'fnr-sextuality': 0.07421875, 'fpr-gender-identity': 0.5873015820980072, 'fnr-gender-identity': 0.01297097, 'fpr-religion': 0.7199999988079071, 'fnr-religion': 0.008460237, 'fpr-race': 0.4900662302970886, 'fnr-race': 0.014513788}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.9500408, 'test gap-rms-sextuality': 0.03114967, 'test gap-rms-gender-identity': 0.11970122, 'test gap-rms-religion': 0.18601896, 'test gap-rms-race': 0.06614844, 'test bal-acc': 0.79297435, 'fpr': 0.40124672651290894, 'fnr': 0.012804497, 'fpr-sextuality': 0.375, 'fnr-sextuality': 0.046875, 'fpr-gender-identity': 0.5634920597076416, 'fnr-gender-identity': 0.009264979, 'fpr-religion': 0.6599999964237213, 'fnr-religion': 0.011844331, 'fpr-race': 0.4900662302970886, 'fnr-race': 0.008708273}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.9506998, 'test gap-rms-sextuality': 0.04371188, 'test gap-rms-gender-identity': 0.16123345, 'test gap-rms-religion': 0.4076337, 'test gap-rms-race': 0.07732016, 'test bal-acc': 0.8326521, 'fpr': 0.31332021951675415, 'fnr': 0.02137553, 'fpr-sextuality': 0.2638888955116272, 'fnr-sextuality': 0.0546875, 'fpr-gender-identity': 0.5317460298538208, 'fnr-gender-identity': 0.01297097, 'fpr-religion': 0.880000002682209, 'fnr-religion': 0.0016920473, 'fpr-race': 0.41721856594085693, 'fnr-race': 0.023947751}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.9468085, 'test gap-rms-sextuality': 0.040743086, 'test gap-rms-gender-identity': 0.14510076, 'test gap-rms-religion': 0.24521862, 'test gap-rms-race': 0.08298956, 'test bal-acc': 0.82786024, 'fpr': 0.3192257285118103, 'fnr': 0.025053786, 'fpr-sextuality': 0.2777777910232544, 'fnr-sextuality': 0.0625, 'fpr-gender-identity': 0.5158730149269104, 'fnr-gender-identity': 0.019765288, 'fpr-religion': 0.6599999964237213, 'fnr-religion': 0.010152284, 'fpr-race': 0.4304635524749756, 'fnr-race': 0.016690856}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.9523944, 'test gap-rms-sextuality': 0.03322998, 'test gap-rms-gender-identity': 0.113207646, 'test gap-rms-religion': 0.21677306, 'test gap-rms-race': 0.068393305, 'test bal-acc': 0.82229376, 'fpr': 0.33858269453048706, 'fnr': 0.016829759, 'fpr-sextuality': 0.3125, 'fnr-sextuality': 0.0546875, 'fpr-gender-identity': 0.4920634627342224, 'fnr-gender-identity': 0.017294627, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.008460237, 'fpr-race': 0.4304635524749756, 'fnr-race': 0.0137880985}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.9490366, 'test gap-rms-sextuality': 0.11045647, 'test gap-rms-gender-identity': 0.072886385, 'test gap-rms-religion': 0.1372811, 'test gap-rms-race': 0.05535992, 'test bal-acc': 0.7888986, 'fpr': 0.40912073850631714, 'fnr': 0.013082101, 'fpr-sextuality': 0.2708333134651184, 'fnr-sextuality': 0.0703125, 'fpr-gender-identity': 0.5079365074634552, 'fnr-gender-identity': 0.01297097, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.01861252, 'fpr-race': 0.4834437370300293, 'fnr-race': 0.009433962}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.9464005, 'test gap-rms-sextuality': 0.07749622, 'test gap-rms-gender-identity': 0.13957365, 'test gap-rms-religion': 0.19650422, 'test gap-rms-race': 0.06750661, 'test bal-acc': 0.8242608, 'fpr': 0.32677167654037476, 'fnr': 0.02470678, 'fpr-sextuality': 0.2569444179534912, 'fnr-sextuality': 0.10546875, 'fpr-gender-identity': 0.5158730149269104, 'fnr-gender-identity': 0.017912291, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.016920473, 'fpr-race': 0.41721856594085693, 'fnr-race': 0.017416546}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.95230025, 'test gap-rms-sextuality': 0.06607609, 'test gap-rms-gender-identity': 0.122123115, 'test gap-rms-religion': 0.20776935, 'test gap-rms-race': 0.069370836, 'test bal-acc': 0.8524602, 'fpr': 0.27099740505218506, 'fnr': 0.02408217, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.1015625, 'fpr-gender-identity': 0.4365079402923584, 'fnr-gender-identity': 0.019765288, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.021996615, 'fpr-race': 0.3642383813858032, 'fnr-race': 0.02322206}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.93902594, 'test gap-rms-sextuality': 0.011323433, 'test gap-rms-gender-identity': 0.1400356, 'test gap-rms-religion': 0.19561034, 'test gap-rms-race': 0.060247093, 'test bal-acc': 0.7034168, 'fpr': 0.5879265069961548, 'fnr': 0.0052397805, 'fpr-sextuality': 0.5763888955116272, 'fnr-sextuality': 0.015625, 'fpr-gender-identity': 0.7777777761220932, 'fnr-gender-identity': 0.0043236567, 'fpr-religion': 0.8599999994039536, 'fnr-religion': 0.0016920473, 'fpr-race': 0.6688741743564606, 'fnr-race': 0.0029027576}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.94574153, 'test gap-rms-sextuality': 0.023995133, 'test gap-rms-gender-identity': 0.15222739, 'test gap-rms-religion': 0.18675122, 'test gap-rms-race': 0.056712005, 'test bal-acc': 0.76419294, 'fpr': 0.46030181646347046, 'fnr': 0.011312374, 'fpr-sextuality': 0.4375, 'fnr-sextuality': 0.03515625, 'fpr-gender-identity': 0.6666666567325592, 'fnr-gender-identity': 0.008647313, 'fpr-religion': 0.7199999988079071, 'fnr-religion': 0.005076142, 'fpr-race': 0.5364238321781158, 'fnr-race': 0.007256894}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.9404067, 'test gap-rms-sextuality': 0.0695007, 'test gap-rms-gender-identity': 0.09249808, 'test gap-rms-religion': 0.1643198, 'test gap-rms-race': 0.059281964, 'test bal-acc': 0.84559107, 'fpr': 0.27165353298187256, 'fnr': 0.03716427, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.1015625, 'fpr-gender-identity': 0.39682537317276, 'fnr-gender-identity': 0.029647931, 'fpr-religion': 0.5, 'fnr-religion': 0.027072757, 'fpr-race': 0.35099339485168457, 'fnr-race': 0.029753266}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.95299065, 'test gap-rms-sextuality': 0.06612375, 'test gap-rms-gender-identity': 0.13306908, 'test gap-rms-religion': 0.1785383, 'test gap-rms-race': 0.054045975, 'test bal-acc': 0.8346522, 'fpr': 0.31167978048324585, 'fnr': 0.019015893, 'fpr-sextuality': 0.2430555820465088, 'fnr-sextuality': 0.078125, 'fpr-gender-identity': 0.4920634627342224, 'fnr-gender-identity': 0.016059296, 'fpr-religion': 0.5600000023841858, 'fnr-religion': 0.015228426, 'fpr-race': 0.38410598039627075, 'fnr-race': 0.02467344}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 60.0, 'test-acc': 0.94856584, 'test gap-rms-sextuality': 0.099841155, 'test gap-rms-gender-identity': 0.08332673, 'test gap-rms-religion': 0.15631948, 'test gap-rms-race': 0.05503369, 'test bal-acc': 0.7736758, 'fpr': 0.442585289478302, 'fnr': 0.010063155, 'fpr-sextuality': 0.3194444179534912, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.5555555522441864, 'fnr-gender-identity': 0.009882644, 'fpr-religion': 0.6599999964237213, 'fnr-religion': 0.013536379, 'fpr-race': 0.5165562927722931, 'fnr-race': 0.009433962}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.94577295, 'test gap-rms-sextuality': 0.05181464, 'test gap-rms-gender-identity': 0.13756739, 'test gap-rms-religion': 0.20006725, 'test gap-rms-race': 0.0911047, 'test bal-acc': 0.8261142, 'fpr': 0.32185041904449463, 'fnr': 0.0259213, 'fpr-sextuality': 0.2638888955116272, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.5079365074634552, 'fnr-gender-identity': 0.013588635, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.016920473, 'fpr-race': 0.443708598613739, 'fnr-race': 0.0137880985}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.9520806, 'test gap-rms-sextuality': 0.07430101, 'test gap-rms-gender-identity': 0.09180636, 'test gap-rms-religion': 0.16970678, 'test gap-rms-race': 0.09399583, 'test bal-acc': 0.8375229, 'fpr': 0.3041338324546814, 'fnr': 0.020820322, 'fpr-sextuality': 0.2291666865348816, 'fnr-sextuality': 0.08984375, 'fpr-gender-identity': 0.4285714030265808, 'fnr-gender-identity': 0.02347128, 'fpr-religion': 0.5399999916553497, 'fnr-religion': 0.030456852, 'fpr-race': 0.4304635524749756, 'fnr-race': 0.018867925}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.90485156, 'test gap-rms-sextuality': 0.016233012, 'test gap-rms-gender-identity': 0.0014989611, 'test gap-rms-religion': 0.004245767, 'test gap-rms-race': 0.010387371, 'test bal-acc': 0.50291806, 'fpr': 0.9940944882109761, 'fnr': 6.940107e-05, 'fpr-sextuality': 0.9722222220152617, 'fnr-sextuality': 0.0, 'fpr-gender-identity': 0.9920634916052222, 'fnr-gender-identity': 0.0, 'fpr-religion': 1.0, 'fnr-religion': 0.0, 'fpr-race': 0.9801324494183064, 'fnr-race': 0.0}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.9061696, 'test gap-rms-sextuality': 0.009212226, 'test gap-rms-gender-identity': 0.0025698775, 'test gap-rms-religion': 0.000462962, 'test gap-rms-race': 0.0053068344, 'test bal-acc': 0.50966114, 'fpr': 0.9806430451571941, 'fnr': 3.4700533e-05, 'fpr-sextuality': 0.9930555555038154, 'fnr-sextuality': 0.0, 'fpr-gender-identity': 0.9841269832104445, 'fnr-gender-identity': 0.0, 'fpr-religion': 0.9800000004470348, 'fnr-religion': 0.0, 'fpr-race': 0.9735099337995052, 'fnr-race': 0.0}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.0965606, 'test gap-rms-sextuality': 0.0007179294, 'test gap-rms-gender-identity': 0.00063431007, 'test gap-rms-religion': 0.00049505685, 'test gap-rms-race': 0.004102869, 'test bal-acc': 0.5005032, 'fpr': 0.0, 'fnr': 0.9989937, 'fpr-sextuality': 0.0, 'fnr-sextuality': 1.0, 'fpr-gender-identity': 0.0, 'fnr-gender-identity': 0.998147, 'fpr-religion': 0.0, 'fnr-religion': 0.99830794, 'fpr-race': 0.0, 'fnr-race': 0.9934688}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.9299881, 'test gap-rms-sextuality': 0.059351735, 'test gap-rms-gender-identity': 0.098729976, 'test gap-rms-religion': 0.17336093, 'test gap-rms-race': 0.04348645, 'test bal-acc': 0.8540599, 'fpr': 0.239829421043396, 'fnr': 0.052050803, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.125, 'fpr-gender-identity': 0.3730158805847168, 'fnr-gender-identity': 0.03891291, 'fpr-religion': 0.48000001907348633, 'fnr-religion': 0.030456852, 'fpr-race': 0.29801326990127563, 'fnr-race': 0.04644412}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.94031256, 'test gap-rms-sextuality': 0.06817737, 'test gap-rms-gender-identity': 0.097178645, 'test gap-rms-religion': 0.17346969, 'test gap-rms-race': 0.032730233, 'test bal-acc': 0.7171838, 'fpr': 0.5587270259857178, 'fnr': 0.0069054062, 'fpr-sextuality': 0.4722222089767456, 'fnr-sextuality': 0.0390625, 'fpr-gender-identity': 0.6904761791229248, 'fnr-gender-identity': 0.007411983, 'fpr-religion': 0.7999999970197678, 'fnr-religion': 0.0033840947, 'fpr-race': 0.6026490032672882, 'fnr-race': 0.009433962}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.94605535, 'test gap-rms-sextuality': 0.10626952, 'test gap-rms-gender-identity': 0.046174027, 'test gap-rms-religion': 0.15680122, 'test gap-rms-race': 0.031314403, 'test bal-acc': 0.7994257, 'fpr': 0.3818897604942322, 'fnr': 0.019258797, 'fpr-sextuality': 0.2708333134651184, 'fnr-sextuality': 0.11328125, 'fpr-gender-identity': 0.4444444179534912, 'fnr-gender-identity': 0.021618282, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.020304568, 'fpr-race': 0.35099339485168457, 'fnr-race': 0.047895502}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.947342, 'test gap-rms-sextuality': 0.049926404, 'test gap-rms-gender-identity': 0.08656027, 'test gap-rms-religion': 0.20756528, 'test gap-rms-race': 0.06412033, 'test bal-acc': 0.83167577, 'fpr': 0.3113517165184021, 'fnr': 0.02529669, 'fpr-sextuality': 0.2777777910232544, 'fnr-sextuality': 0.0859375, 'fpr-gender-identity': 0.4285714030265808, 'fnr-gender-identity': 0.019765288, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.01861252, 'fpr-race': 0.3973509669303894, 'fnr-race': 0.019593613}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 100.0, 'test-acc': 0.9545911, 'test gap-rms-sextuality': 0.09600861, 'test gap-rms-gender-identity': 0.12664707, 'test gap-rms-religion': 0.189591, 'test gap-rms-race': 0.0848752, 'test bal-acc': 0.82453513, 'fpr': 0.3362860679626465, 'fnr': 0.014643625, 'fpr-sextuality': 0.2222222089767456, 'fnr-sextuality': 0.078125, 'fpr-gender-identity': 0.5079365074634552, 'fnr-gender-identity': 0.010500309, 'fpr-religion': 0.5999999940395355, 'fnr-religion': 0.016920473, 'fpr-race': 0.4503311514854431, 'fnr-race': 0.01161103}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.9391828, 'test gap-rms-sextuality': 0.057631087, 'test gap-rms-gender-identity': 0.07771841, 'test gap-rms-religion': 0.19343854, 'test gap-rms-race': 0.0838373, 'test bal-acc': 0.85356927, 'fpr': 0.2522965669631958, 'fnr': 0.040564924, 'fpr-sextuality': 0.2013888955116272, 'fnr-sextuality': 0.1015625, 'fpr-gender-identity': 0.3571428656578064, 'fnr-gender-identity': 0.030265596, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.013536379, 'fpr-race': 0.3642383813858032, 'fnr-race': 0.027576197}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.9485031, 'test gap-rms-sextuality': 0.054518804, 'test gap-rms-gender-identity': 0.1619806, 'test gap-rms-religion': 0.2475629, 'test gap-rms-race': 0.07526322, 'test bal-acc': 0.8035662, 'fpr': 0.3756561875343323, 'fnr': 0.017211465, 'fpr-sextuality': 0.3194444179534912, 'fnr-sextuality': 0.06640625, 'fpr-gender-identity': 0.5952380895614624, 'fnr-gender-identity': 0.020382952, 'fpr-religion': 0.7199999988079071, 'fnr-religion': 0.013536379, 'fpr-race': 0.4768211841583252, 'fnr-race': 0.017416546}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.924716, 'test gap-rms-sextuality': 0.051580448, 'test gap-rms-gender-identity': 0.08264723, 'test gap-rms-religion': 0.082834035, 'test gap-rms-race': 0.012312132, 'test bal-acc': 0.6074901, 'fpr': 0.784776896238327, 'fnr': 0.00024290374, 'fpr-sextuality': 0.7152777910232544, 'fnr-sextuality': 0.0, 'fpr-gender-identity': 0.8968253955245018, 'fnr-gender-identity': 0.00061766524, 'fpr-religion': 0.8999999985098839, 'fnr-religion': 0.0, 'fpr-race': 0.8013245016336441, 'fnr-race': 0.0}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.95434004, 'test gap-rms-sextuality': 0.08234571, 'test gap-rms-gender-identity': 0.14357626, 'test gap-rms-religion': 0.23512188, 'test gap-rms-race': 0.08223838, 'test bal-acc': 0.83466476, 'fpr': 0.31332021951675415, 'fnr': 0.017350268, 'fpr-sextuality': 0.2083333134651184, 'fnr-sextuality': 0.0546875, 'fpr-gender-identity': 0.5079365074634552, 'fnr-gender-identity': 0.013588635, 'fpr-religion': 0.6399999856948853, 'fnr-religion': 0.0016920473, 'fpr-race': 0.42384105920791626, 'fnr-race': 0.015239477}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 80.0, 'test-acc': 0.92057365, 'test gap-rms-sextuality': 0.009035908, 'test gap-rms-gender-identity': 0.05579671, 'test gap-rms-religion': 0.071034916, 'test gap-rms-race': 0.004928676, 'test bal-acc': 0.5889171, 'fpr': 0.8211942315101624, 'fnr': 0.00097161497, 'fpr-sextuality': 0.8333333283662796, 'fnr-sextuality': 0.0, 'fpr-gender-identity': 0.8968253955245018, 'fnr-gender-identity': 0.002470661, 'fpr-religion': 0.9200000017881393, 'fnr-religion': 0.0, 'fpr-race': 0.8278145641088486, 'fnr-race': 0.0007256894}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.9426034, 'test gap-rms-sextuality': 0.10135606, 'test gap-rms-gender-identity': 0.0685076, 'test gap-rms-religion': 0.13825214, 'test gap-rms-race': 0.0236031, 'test bal-acc': 0.8217213, 'fpr': 0.3277559280395508, 'fnr': 0.028801443, 'fpr-sextuality': 0.2152777910232544, 'fnr-sextuality': 0.109375, 'fpr-gender-identity': 0.420634925365448, 'fnr-gender-identity': 0.029030265, 'fpr-religion': 0.5200000107288361, 'fnr-religion': 0.033840947, 'fpr-race': 0.34437084197998047, 'fnr-race': 0.055878084}
